Heat Date,Heat No,Grade,Shape,Shift Incharge,Liq Temperature,Lift Temperature,Heat COmpany,Cut Length1,Cut Length2,Cut Length3,Cut Length4,Cut Length5,NI,MO,NI&MO
01-01-2025,199278,20MnCr(M),BILLET,SAKTHIVEL,1516,1600,KSL,3.52 TO 3.55,,,,,NO,NO,NO
01-01-2025,199281,20MnCr5 HH,BILLET,SAKTHIVEL,1511,1600,KSL,3.48 TO 3.51,,,,,NO,NO,NO
01-01-2025,199282/83,S53C,BILLET,SAKTHIVEL,1497,1577,KSL,3.50 TO 3.53,3.50 TO 3.53,,,,NO,NO,NO
01-01-2025,199284/85,SAE 5219,BLOOM,SAKTHIVEL,1515,1600,ML,3.20 TO 3.25,,,,,YES,NO,NO
01-01-2025,199286,S53C,BILLET,SAKTHIVEL,1497,1577,KSL,3.37 TO 3.40,,,,,NO,NO,NO
01-01-2025,199287/88,18CrNI8,BLOOM,RAGHU,1511,1585,ML,3.20 TO 3.25,,,,,YES,NO,NO
01-01-2025,199289,S53C,BILLET,RAGHU,1497,1580,KSL,3.50 TO 3.53,,,,,NO,NO,NO
01-01-2025,199291/93,SKFGRD3,BLOOM,RAGHU,1466,1535,ML,3.07 TO 3.10,,,,,NO,NO,NO
01-01-2025,199292,DIN 1.1213,BILLET,RAGHU,1497,1570,KSL,3.49 TO 3.52,,,,,NO,NO,NO
01-01-2025,199294,SKFGRD3,BLOOM,RAGHU,1466,1540,KSL,3.34 TO 3.37,,,,,NO,NO,NO
01-01-2025,199295,20MC5,BILLET,RAGHU,1516,1590,KSL,"""3.49 TO 3.52(HALF)","3.42 TO 3.45(HALF)""",,,,NO,NO,NO
01-01-2025,199296/97,20MnCr5,BILLET,RAGHU,1516,1590,KSL,3.50 TO 3.53,,,,,NO,NO,NO
01-01-2025,199298/99,SKFGRD3,BLOOM,JAVID,1466,1540,ML,3.07 TO 3.10,,,,,NO,NO,NO
01-01-2025,199300/02,16mncr5,BILLET,JAVID,1518,1605,KSL,3.50 TO 3.53,,,,,NO,NO,NO
01-01-2025,199304/05,JIS S45CS1V,BLOOM,JAVID,1499,1580,ML,3.85 TO 3.90,,,,,NO,NO,NO
01-01-2025,199306/08,SKFGRD3,BILLET,JAVID,1466,1540,KSL,3.52 TO 3.55,,,,,NO,NO,NO
01-01-2025,199306/8,SKFGRD3,BILLET,JAVID,1466,1540,KSL,3.52 TO 3.55,,,,,NO,NO,NO
01-01-2025,199310/11,SCR420HV-SG,BLOOM,VCK,1517,1595,ML,3.20 TO 3.25,,,,,NO,NO,NO
02-01-2025,199313/14,20MnCr5 HH,BILLET,VCK,1517,1590,KSL,3.48 TO 3.51----1 ST HEAT,3.54 TO 3.57----2 ND HEAT,,3.50 TO 3.53-----3 RD HEAT  -199315,,NO,NO,NO
02-01-2025,199318/19,38MnS6,BLOOM,VCK,1500,1577,ML,4.22 TO 4.25,,,,,NO,NO,NO
02-01-2025,199320/22,20MnCr5,BILLET,VCK,1516,1592,KSL,3.50 TO 3.53,3.50 TO 3.53,,"""3.15 TO 3.20( HALF HEAT)----3 RD HEAT","3.37 TO 3.40(HALF HEAT)""",NO,NO,NO
02-01-2025,199323,20MnCr5,BILLET,RAGHU,1516,1600,KSL,"""3.15 TO 3.20( HALF HEAT)","3.37 TO 3.40(HALF HEAT)""",,,,NO,NO,NO
02-01-2025,199324/25,S55CR,BLOOM,RAGHU,1497,1577,ML,3.85 TO 3.90,,,,,NO,NO,NO
02-01-2025,199327/28,D38MSVS5,BILLET,RAGHU,1500,1575,KSL,3.52 TO 3.55,,,,,NO,NO,NO
02-01-2025,199329/30,20MnCr5,BLOOM,RAGHU,1517,1590,KSL,4.15 TO 4.20,,,,,YES,NO,NO
02-01-2025,199332/33,DIN 1.1213,BLOOM,JAVID,1497,1590,ML,2.91 TO 2.94 1ST HEAT,3.20 TO 3.23 2ND HEAT,,,,NO,NO,NO
02-01-2025,199335/36,SANC1,BILLET,VCK,1519,1610,ML,11.80 TO 11.90,,,,,NO,NO,NO
02-01-2025,1999316,LER,BLOOM,VCK,1533,1610,KSL,"""3.79 TO 3.81( 3 PCS)","4.24 TO 4.27( REST)""",,,,NO,NO,NO
03-01-2025,199244/45,SAE 1548,BLOOM,VCK,1500,1577,KSL,3.83 TO 3.86,,,,,NO,NO,NO
03-01-2025,199338/39,SAE 1548,BLOOM,VCK,1500,1576,KSL,4.20 TO 4.23,,,,,NO,NO,NO
03-01-2025,199340/42,54SiCr6,BILLET,VCK,1486,1565,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199346/47,SAE 5140(M),BILLET,VCK,1505,1582,ML,10.40 TO 10.50,,,,,NO,NO,NO
03-01-2025,199350/51,SAE 1548,BLOOM,CSP,1500,1580,KSL,3.83 TO 3.86,,,,,NO,NO,NO
03-01-2025,199353/54,JIS S48CDI,BILLET,CSP,1500,1575,ML,11.80 TO 11.90,,,,,YES,NO,NO
03-01-2025,199356/57,C38+N2,BLOOM,CSP,1500,1580,KSL,4.17 TO 4.20,,,,,NO,YES,NO
03-01-2025,199358/59,54SiCr6,BILLET,CSP,1487,1565,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199358/60,54SiCr6,BILLET,CSP,1487,1565,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199362/63,S45CP2,BLOOM,JAVID,1503,1580,ML,3.85 TO 3.90,,,,,NO,NO,NO
03-01-2025,199364/66,16MnCrS5,BILLET,JAVID,1517,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199368/69,SKFGRD3,BLOOM,JAVID,1466,1545,ML,3.07 TO 3.10,,,,,NO,NO,NO
03-01-2025,199370,16MnCr5LSi,BILLET,JAVID,1519,1605,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199370/72,16MnCr5LSi,BILLET,JAVID,1519,1605,ML,11.80 TO 11.90,,,,,NO,NO,NO
03-01-2025,199374/75,SAE 1050(M),BLOOM,SAKTHIVEL,1497,1580,KSL,4.20 TO 4.25,,,,,NO,NO,NO
03-01-2025,199376/78,SAE 9254MU,BILLET,SAKTHIVEL,1488,1555,ML,11.80 TO 11.90,,,,,NO,NO,NO
04-01-2025,199380/81,ZF7B,BLOOM,SAKTHIVEL,1517,1602,KSL,"""4.10  TO 4.15",X4--TO BE CUT,"3.70 TO 3.73""",,,YES,YES,YES
04-01-2025,199382/84,SAE 4140,BILLET,SAKTHIVEL,1505,1580,ML,10.40 TO 10.45,,,,,NO,YES,NO
04-01-2025,199386/87,SUJ2S,BLOOM,SAKTHIVEL,1466,1540,ML,"""3.20 TO 3.25","X5--TO BE CUT 5.1 M""",,,,NO,NO,NO
04-01-2025,199388/90,54SiCr6,BILLET,SAKTHIVEL,1487,1555,ML,11.80 TO 11.90,,,,,NO,NO,NO
04-01-2025,199392/93,SAE 1538MV,BLOOM,VCK,1500,1577,KSL,4.00 TO 4.05,,,,,NO,YES,NO
04-01-2025,199394/96,SCM 420,BILLET,VCK,1518,1596,ML,11.80 TO 11.90,,,,,NO,YES,NO
04-01-2025,199398/99,44MnSiVS6,BLOOM,VCK,1497,1574,KSL,3.97 TO 4.00----1 ST HEAT,,4.00 TO 4.05----2 ND HEAT,,,NO,YES,NO
04-01-2025,199400/02,20MNCr5HH,BILLET,VCK,1515,1592,KSL,2.98 TO 3.01--1 ST HEAT,2.98 TO 3.01--2 ND HEAT,,2.66 TO 2.69----3 RD HEAT,,NO,NO,NO
04-01-2025,199404/05,42Cr4Mo4,BLOOM,MM,1503,1590,KSL,"""4.00 TO 4.23( 14 PCS)","4.20 TO 4.25(REST)""(1ST HEAT)",4.20 TO 4.23(2ND HEAT),,,NO,YES,NO
04-01-2025,199406/08,100Cr6,BILLET,MM,1466,1545,ML,11.80 TO 11.90,,,,,NO,NO,NO
04-01-2025,199410/11,S55CLS,BLOOM,MM,1497,1570,ML,3.85 TO 3.90,,,,,NO,NO,NO
04-01-2025,199412/14,SKFGRD3,BILLET,MM,1466,1540,KSL,2.95 TO 3.00,,,,,NO,NO,NO
04-01-2025,199416/17,55CR,BLOOM,MM,1497,1577,KSL,3.20 TO 3.23,,,,,NO,NO,NO
04-01-2025,199418/20,SCM 420H,BILLET,SAKTHIVEL,1519,1600,ML,11.80 TO 11.90,,,,,NO,YES,NO
05-01-2025,199422/23,SKFGRD3,BLOOM,SAKTHIVEL,1466,1540,ML,3.07 TO 3.10,,,,,NO,NO,NO
05-01-2025,199424/26,16MnCr5LSi,BILLET,SAKTHIVEL,1519,1600,ML,11.80 TO 11.90,,,,,NO,NO,NO
05-01-2025,199428/29,SKFGRD3,BLOOM,SAKTHIVEL,1466,1535,ML,3.07 TO 3.10,,,,,NO,NO,NO
05-01-2025,199430/32,54SiCr6,BILLET,VCK,1486,1560,ML,11.80 TO 11.90,,,,,NO,NO,NO
05-01-2025,199434/35,SAE 8620H,BLOOM,VCK,1516,1592,KSL,4.15 TO 4.20--5 PCS,3.57 TO 3.60---REST,,4.20 TO 4.23 ----2 ND HEAT,,YES,YES,YES
05-01-2025,199436/38,SCM 435CHQ,BLOOM,VCK,1507,1580,ML,11.80 TO 11.90,,,,,NO,YES,NO
05-01-2025,199440/41,20MnCrS5LH,BLOOM,VCK,1517,1595,ML,4.15 TO 4.20,,,,,YES,NO,NO
05-01-2025,199442/44,20MnCr5HH,BILLET,VCK,1517,1592,KSL,3.35 TO 3.38,,,,,NO,NO,NO
05-01-2025,199445/44,20MnCr5HH,BILLET,MM,1517,1597,KSL,3.35 TO 3.38,,,,,NO,NO,NO
05-01-2025,199447/46,S53CG,BLOOM,MM,1497,1580,ML,2.52 TO 2.55,,,,,NO,NO,NO
05-01-2025,199448,S53CG,BLOOM,MM,1497,1580,ML,2.52 TO 2.55,,,,,NO,NO,NO
05-01-2025,199449/50,20MnCr5H,BILLET,MM,1516,1590,KSL,3.40 TO 3.45,,,,,NO,NO,NO
05-01-2025,199451,SAE 1548LS,BLOOM,MM,1499,1579,ML,3.74 TO 3.77,,,,,NO,NO,NO
05-01-2025,199453/54,SAE 1548LS,BLOOM,SAKTHIVEL,1499,1580,ML,3.74 TO 3.77,,,,,NO,NO,NO
05-01-2025,199455/57,DIN 1.1213,BILLET,SAKTHIVEL,1496,1575,KSL,3.39 TO 3.42,,,,,NO,NO,NO
06-01-2025,199459/60,DIN 1.1213,BLOOM,SAKTHIVEL,1496,1575,ML,2.92 TO 2.95 ( 1ST HEAT),2.52 TO 2.55 (2ND & 3RD HEAT),,,,NO,NO,NO
06-01-2025,199461,S53C,BILLET,SAKTHIVEL,1496,1575,KSL,2.60 TO 2.65,,,,,NO,NO,NO
06-01-2025,199463,DIN 1.1213,BILLET,SAKTHIVEL,1496,1575,KSL,3.39 TO 3.42,,,,,NO,NO,NO
06-01-2025,199464,S53C,BILLET,SAKTHIVEL,1496,1575,KSL,3.52 TO 3.55,,,,,NO,NO,NO
06-01-2025,199465/66,SCM 440,BLOOM,SAKTHIVEL,1505,1585,ML,3.85 TO 3.90,,,,,NO,YES,NO
06-01-2025,199467/69,S53C,BILLET,VCK,1497,1572,KSL,3.37 TO 3.40,,,,,NO,NO,NO
06-01-2025,199472/73,SAE 9254MU,BLOOM,VCK,1487,1562,ML,10.40 TO 10.50,,,,,NO,NO,NO
06-01-2025,199474/76,S55CR,BILLET,VCK,1506,1572,KSL,2.60 TO 2.65,,,,,NO,NO,NO
06-01-2025,199478/79,16MnCr5 SAF,BLOOM,VCK,1518,1593,ML,10.40 TO 10.50,,,,,NO,NO,NO
06-01-2025,199480/82,S55CR,BILLET,MM,1497,1560,KSL,2.60 TO 2.65,,,,,NO,NO,NO
06-01-2025,199504/05,54SiCr6,BLOOM,MM,1487,1570,ML,10.40 TO 10.50,,,,,NO,NO,NO
06-01-2025,199506/08,SAE 52100,BILLET,MM,1469,1545,KSL,3.35 TO 3.38,,,,,NO,NO,NO
06-01-2025,199510/11,JIS S35C,BLOOM,MM,1510,1590,ML,10.40 TO 10.50,,,,,NO,NO,NO
06-01-2025,199512/14,SKFGRD3,BILLET,MM,1466,1540,KSL,"""2.60 TO 2.65(26 PCS)","3.40 TO 3.45(REST)""(1ST HEAT)",3.40 TO 3.45(2ND & 3RD HEAT),,,NO,NO,NO
06-01-2025,199516/17,SCM 435H,BLOOM,RAGHU,1507,1580,ML,10.40 TO 10.50,,,,,NO,YES,NO
06-01-2025,199518,C70S6,BILLET,RAGHU,1486,1565,KSL,"""2.98 TO 3.01(HALF)","3.42 TO 3.45(HALF)""",,,,YES,NO,NO
06-01-2025,199520/22,C70S6,BILLET,RAGHU,1486,1565,KSL,3.43 TO 3.46,,,,,YES,NO,NO
06-01-2025,199522/23,SAE 4140,BLOOM,RAGHU,1505,1575,ML,10.40 TO 10.50,,,,,NO,YES,NO
06-01-2025,199525/26,C70S6,BILLET,RAGHU,1486,1555,KSL,3.52 TO 3.55,,,,,YES,NO,NO
07-01-2025,199430/29,SCM 415HV,BLOOM,VCK,1521,1595,ML,10.40 TO 10.50,,,,,NO,YES,NO
07-01-2025,199527/29,SCM 415HV,BLOOM,VCK,1520,1597,ML,10.40 TO 10.50,,,,,NO,YES,NO
07-01-2025,199531/32,C70,BILLET,VCK,1486,1560,KSL,3.55 TO 3.58,,,,,NO,YES,NO
07-01-2025,199535/36,15B25PRF,BLOOM,VCK,1518,1593,ML,11.80 TO 11.90,,,,,NO,NO,NO
07-01-2025,199537/39,20MnCr5 HH,BILLET,VCK,1516,1592,KSL,3.60 TO 3.63,,,,,NO,NO,NO
07-01-2025,199541/42,10B21RTF,BLOOM,SAKTHIVEL,1521,1605,ML,10.40 TO 10.50,,,,,NO,NO,NO
07-01-2025,199543/45,ZF7B,BILLET,SAKTHIVEL,1517,1590,KSL,"""2.54 TO 2.57(HALF)","3.52 TO 3.55(HALF)""",3.52 TO 3.55 (2ND AND 3RD HEAT),,,YES,YES,YES
07-01-2025,199547/48,38MnVS6-HT,BLOOM,SAKTHIVEL,1500,1575,ML,10.40 TO 10.50,,,,,NO,NO,NO
07-01-2025,199549/50,SAE 8620H,BILLET,SAKTHIVEL,1517,1595,KSL,3.33 TO 3.36,,,,,YES,YES,YES
07-01-2025,199551/53,10B35SKS1,BLOOM,SAKTHIVEL,1511,1585,ML,10.40 TO 10.50,,,,,NO,NO,NO
07-01-2025,199555/56,20MnCr5,BILLET,RAGHU,1515,1590,KSL,2.61 TO 2.64,,,,,NO,NO,NO
07-01-2025,199557,30MnVS6,BLOOM,RAGHU,1505,1585,ML,10.40 TO 10.50,,,,,NO,NO,NO
07-01-2025,199558,20MnCr5,BILLET,RAGHU,1516,1600,KSL,3.24 TO 3.27,,,,,NO,NO,NO
07-01-2025,199558/59,20MnCr5,BILLET,RAGHU,1516,1600,KSL,3.24 TO 3.27,,,,,NO,NO,NO
07-01-2025,199563/64,SAE 5120(H),BILLET,RAGHU,1519,1590,KSL,3.37 TO 3.40 LEAD HEAT,3.02 TO 3.05 L+1 HEAT,,,,NO,NO,NO
07-01-2025,199566/67,S45CLO,BLOOM,RAGHU,1502,1575,ML,10.40 TO 10.50,,,,,NO,NO,NO
08-01-2025,199560/61,SAE 5140(M),BLOOM,RAGHU,1506,1575,ML,10.40 TO 10.50,,,,,NO,NO,NO
08-01-2025,199569,S48C,BILLET,CSP,1500,1570,KSL,3.40 TO 3.45 9 (1ST HEAT),,,,,NO,NO,NO
08-01-2025,199570/71,S48C,BILLET,CSP,1500,1570,KSL,2.60 TO 2.65(2ND&3RD),,,,,NO,NO,NO
08-01-2025,199572/73,SCM 435BF,BLOOM,CSP,1510,1580,ML,3.85 TO 3.90,,,,,NO,YES,NO
08-01-2025,199574,SAE 4140H,BILLET,CSP,1502,1575,KSL,3.53 TO 3.56,,,,,NO,YES,YES
08-01-2025,199576/77,EN9,BILLET,CSP,1495,1570,KSL,3.37 TO 3.40,,,,,NO,NO,NO
08-01-2025,199578/80,S55CR,BLOOM,CSP,1497,1570,ML,3.20 TO 3.25,,,,,NO,NO,NO
08-01-2025,199582/83,SWRCH8A,BILLET,SAKTHIVEL,1533,1610,ML,11.80 TO 11.90,,,,,NO,NO,NO
08-01-2025,199584/86,SKFGRD3,BLOOM,SAKTHIVEL,1466,1540,ML,3.07 TO 3.10,,,,,NO,NO,NO
08-01-2025,199588/89,54SiCr6,BILLET,SAKTHIVEL,1586,1560,ML,11.80 TO 11.90,,,,,NO,NO,NO
08-01-2025,199591/92,SKFGRD3,BLOOM,RAGHU,1466,1545,ML,3.07 TO 3.10,,,,,NO,NO,NO
08-01-2025,199593/94,SCM 435CHQ,BILLET,RAGHU,1508,1580,ML,11.80 TO 11.90,,,,,NO,YES,NO
08-01-2025,199593/95,SCM 435CHQ,BILLET,RAGHU,1508,1580,ML,11.80 TO 11.90,,,,,NO,YES,NO
08-01-2025,199597/98,SAE 1538MV,BLOOM,RAGHU,1499,1570,KSL,3.92 TO 3.96,,,,,NO,YES,NO
08-01-2025,199599,CMA1,BLOOM,RAGHU,1499,1570,KSL,4.15 TO 4.20,,,,,NO,NO,NO
08-01-2025,199600/01,SCM 420H,BILLET,RAGHU,1519,1590,ML,11.80 TO 11.90,,,,,NO,YES,NO
08-01-2025,199602/04,SAE 1046M,BLOOM,RAGHU,1499,1580,KSL,3.69 TO 3.73,,,,,NO,NO,NO
09-01-2025,199614/16,SAE 1538MV,BLOOM,MM,1500,1580,KSL,3.42 TO 3.46,,,,,NO,YES,NO
09-01-2025,199606/07,54SiCr6,BILLET,MM,1486,1570,ML,11.80 TO 11.90,,,,,NO,NO,NO
09-01-2025,199608/10,44MnSiVS6,BLOOM,MM,1497,1580,KSL,4.20 TO 4.25,,,,,NO,YES,NO
09-01-2025,199612/13,JISS45CMOD,BILLET,MM,1500,1570,ML,11.80 TO 11.90,,,,,YES,NO,YES
09-01-2025,199618/19,C70S6,BILLET,SAKTHIVEL,1487,1560,ML,11.80 TO 11.90,,,,,YES,NO,NO
09-01-2025,199620/22,JIS S45CS1V,BLOOM,SAKTHIVEL,1500,1580,ML,3.85 TO 3.90,,,,,NO,NO,NO
09-01-2025,199624/25,41Cr4,BILLET,SAKTHIVEL,1503,1580,ML,11.80 TO 11.90,,,,,NO,NO,NO
09-01-2025,199626,SAE 1050M,BLOOM,SAKTHIVEL,1496,1570,ML,2.52 TO 2.55,,,,,NO,NO,NO
09-01-2025,199629/31,SAE 1538MV,BLOOM,SAKTHIVEL,1500,1580,KSL,3.42 TO 3.46,,,,,NO,YES,NO
09-01-2025,199630/33,41Cr4,BILLET,VCK,1504,1580,ML,11.80 TO 11.90,,,,,NO,NO,NO
10-01-2025,199635/36,CMA-1,BLOOM,VCK,1500,1575,KSL,4.15 TO 4.20,,,,,NO,NO,NO
10-01-2025,199638/39,CF53,BILLET,VCK,1497,1570,ML,11.80 TO 11.90,,,,,NO,NO,NO
10-01-2025,199641/42,SAE 1538MV,BLOOM,VCK,1500,1572,KSL,3.64 TO 3.68,,,,,NO,YES,NO
10-01-2025,199643/45,16MnCr5 SAF,BILLET,VCK,1519,1593,ML,11.80 TO 11.90,,,,,NO,NO,NO
10-01-2025,199644,38MnSivs6,BLOOM,RAGHU,1500,1575,KSL,4.20 TO 4.23,,,,,NO,NO,NO
10-01-2025,199647/48,42CrMO4,BLOOM,MM,1503,1585,KSL,"""4.20 TO 4.23( 14 PCS)",4.17 TO 4.20(5 PCS),"4.00 TO 4.03(REST)"" (1ST HEAT)",4.24 TO 4.27 (2ND HEAT),,NO,YES,NO
10-01-2025,199649/51,SANC1,BILLET,MM,1515,1600,ML,11.80 TO 11.90 / 1 AND 2,,,,,NO,NO,NO
10-01-2025,199650,42CrMO4,BLOOM,MM,1503,1575,KSL,4.02 TO 4.05,,,,,NO,YES,NO
10-01-2025,199652,SANC1,BILLET,MM,1515,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
10-01-2025,199653/54,S55CR,BLOOM,MM,1497,1580,KSL,3.34 TO 3.37,,,,,NO,NO,NO
10-01-2025,199656,SAE 10B21M1,BILLET,SAKTHIVEL,1521,1600,ML,7.50 TO 7.55,,,,,NO,NO,NO
10-01-2025,199658/60,SKFGRD3,BLOOM,SAKTHIVEL,1466,1540,ML,3.07 TO 3.10,,,,,NO,NO,NO
10-01-2025,199661/63,SAE 10B21M2,BILLET,SAKTHIVEL,1520,1610,ML,7.50 TO 7.55,,,,,NO,NO,NO
10-01-2025,199662/66,SKFGRD3,BLOOM,SAKTHIVEL,1466,1530,ML,3.07 TO 3.10,,,,,NO,NO,NO
10-01-2025,199667/68,10B35S0,BILLET,SAKTHIVEL,1515,1595,ML,7.50 TO 7.55,,,,,NO,NO,NO
10-01-2025,199670/71,SAE 1538MV,BLOOM,RAGHU,1500,1580,KSL,3.64 TO 3.68,,,,,NO,YES,NO
10-01-2025,199672/74,SAE 10B21M1,BILLET,RAGHU,1520,1590,ML,7.50 TO 7.55,,,,,NO,NO,NO
10-01-2025,199676/77,41CrS4,BLOOM,RAGHU,1502,1575,KSL,4.20 TO 4.25,,,,,NO,NO,NO
10-01-2025,199678,SAE 10B21M2,BILLET,RAGHU,1520,1600,ML,7.50 TO 7.55,,,,,NO,NO,NO
11-01-2025,199682,SAE 1538MV,BLOOM,VCK,1500,1577,KSL,3.64 TO 3.68,,,,,NO,YES,NO
11-01-2025,199684/85,AISI 1010,BILLET,MM,1530,1598,ML,7.50 TO 7.55,,,,,NO,NO,NO
11-01-2025,199688/89,SAE 8620H,BLOOM,VCK,1515,1596,KSL,4.20 TO 4.23,,,,,YES,YES,YES
11-01-2025,199690/91,ER70S2,BILLET,VCK,1521,1605,ML,7.50 TO 7.55,,,,,NO,NO,NO
11-01-2025,199692,SAE 8620H,BLOOM,VCK,1514,1580,KSL,4.20 TO 4.23,,,,,YES,YES,YES
11-01-2025,199693/94,20MnCr5(H),BILLET,VCK,1516,1593,ML,11.80 TO 11.90,,,,,NO,NO,NO
11-01-2025,199695/97,20MnCr5,BLOOM,VCK,1517,1593,KSL,4.20 TO 4.25----1 ST HEAT,,3.84 TO 3.87----2 ND HEAT,,,NO,NO,NO
11-01-2025,199699/700,SCM 435H,BILLET,SAKTHIVEL,1507,1585,ML,7.50 TO 7.55,,,,,NO,YES,NO
11-01-2025,199701/703,ZF7B,BLOOM,SAKTHIVEL,1517,1595,KSL,3.57 TO 3.60 (1ST HEAT),3.34 TO 3.37 (2ND HEAT),"""4.20 TO 4.23( 10 PCS)(3RD HEAT)",4.06 TO 4.10(REST)(3RD HEAT),,YES,YES,YES
11-01-2025,199705/06,16MnCr5 SAF,BILLET,SAKTHIVEL,1518,1610,ML,11.80 TO 11.90,,,,,NO,NO,NO
11-01-2025,199707/09,92421 Level B,BLOOM,SAKTHIVEL,1516,1592,KSL,4.00 TO 4.03,,,,,YES,YES,YES
11-01-2025,199711/12,100Cr6,BILLET,RAGHU,1466,1545,ML,11.80 TO 11.90,,,,,NO,NO,NO
11-01-2025,199714/15,S55CR,BLOOM,RAGHU,1497,1570,ML,3.85 TO 3.90,,,,,NO,NO,NO
11-01-2025,199717,30MnVS6,BILLET,RAGHU,1504,1585,ML,11.80 TO 11.90,,,,,NO,NO,NO
11-01-2025,199719/20,JIS S45C(M),BILLET,RAGHU,1500,1580,ML,11.80 TO 11.90,,,,,YES,NO,NO
12-01-2025,199721/3,SAE 1538MV,BLOOM,MM,1500,1580,KSL,3.69 TO 3.73,,,,,NO,YES,NO
12-01-2025,199724/26,10B35S3,BILLET,MM,1510,1590,ML,7.50 TO 7.55,,,,,NO,YES,NO
12-01-2025,199727/29,SAE 1046M,BLOOM,MM,1500,1580,KSL,3.35 TO 3.39 (1ST HEAT AND 2ND HEAT),3.41 TO 3.45 (3RD HEAT AND 4TH HEAT),,,,NO,NO,NO
12-01-2025,199731,38MnVS6-HT,BILLET,MM,1500,170,ML,11.80 TO 11.90,,,,,NO,NO,NO
12-01-2025,199733/34,SANC-2,BILLET,MM,1518,1590,ML,11.80 TO 11.90,,,,,NO,YES,NO
12-01-2025,199735/37,SAE 1046M,BLOOM,SAKTHIVEL,1498,1575,KSL,3.35 TO 3.39,,,,,NO,NO,NO
12-01-2025,199739/40,M36MnVS4,BILLET,SAKTHIVEL,1502,1585,KSL,"""2.42 TO 2.45( 63 PCS)","2.59 TO 2.62(REST)""",2.59 TO 2.62,,,NO,YES,NO
12-01-2025,199741/43,JIS S45CS1V,BLOOM,SAKTHIVEL,1500,1580,ML,3.20 TO 3.25,3.20 TO 3.25,,,,NO,NO,NO
12-01-2025,199745/46,10B35S2,BILLET,SAKTHIVEL,1511,1595,ML,10.40 TO 10.50,10.40 TO 10.50,,,,NO,NO,NO
12-01-2025,199748/51,CMA-1/SAE 1538 MV,BLOOM,VCK,1500,1577,KSL,4.15 TO 4.20---1 ST HT,,3.64 TO 3.68----2 ND HT,,,NO,NO,NO
13-01-2025,199749/52,55C8,BILLET,VCK,1498,1572,ML,11.95 TO 12.00,,,,,NO,NO,NO
13-01-2025,199754/55,SAE 1524,BLOOM,VCK,1515,1592,ML,3.00 TO 3.05.,,,,,NO,NO,NO
13-01-2025,199756/58,C15E,BILLET,VCK,1524,1602,KSL,2.82 TO 2.85,,,,,NO,NO,NO
13-01-2025,199760,16MnCrS5,BLOOM,SAKTHIVEL,1517,1595,KSL,"""3.27 TO 3.30(10 PCS)",4.07 TO 4.10(8 PCS),"4.11 TO 4.15(REST)""",,,NO,NO,NO
13-01-2025,199761/63,16MnCrS5,BLOOM,SAKTHIVEL,1517,1595,KSL,"""2.52 TO 2.55(16 PCS)(2ND HEAT)","4.11 TO 4.15(REST)""(2ND HEAT)",4.11 TO 4.15 (3RD HEAT),,,NO,NO,NO
13-01-2025,199762/64,SAE 9254D,BILLET,MM,1487,1560,ML,11.80 TO 11.90,,,,,NO,NO,NO
13-01-2025,199766/7/9,SKFGRD3,BLOOM,MM,1466,1540,ML,3.07 TO 3.10,,,,,NO,NO,NO
13-01-2025,199768/70,ZF7B,BILLET,SAKTHIVEL,1515,1590,KSL,2.55 TO 2.60,2.55 TO 2.60,,,,YES,YES,YES
13-01-2025,199774/76,15B25PRF,BILLET,RAGHU,1518,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
13-01-2025,199778/79,S53CG,BLOOM,RAGHU,1497,1575,ML,2.52 TO 2.55,,,,,NO,NO,NO
13-01-2025,199780/82,C70S6,BILLET,RAGHU,1487,1570,KSL,2.55 TO 2.60 LEAD,2.54 TO 2.57 L+1,,,,YES,NO,NO
13-01-2025,199784/85,SAE 1538MV,BLOOM,RAGHU,1500,1570,KSL,3.69 TO 3.73(1ST HEAT),3.46 TO 3.50(2&3RD HEAT),,,,NO,YES,NO
13-01-2025,199786/88,41Cr4,BILLET,VCK,1502,1578,ML,11.80 TO 11.90,,,,,NO,NO,NO
14-01-2025,199199811/,SAE 1538MV,BLOOM,VCK,1500,1577,KSL,3.42 TO 3.46----1 ST HT,,3.64 TO 3.68----2 ND HT,,,NO,YES,NO
14-01-2025,199790/91,20MnCrS5,BLOOM,VCK,1515,1593,KSL,3.57 TO 3.60---1 ST HT,,3.95 TO 3.98---2 ND HT,,,NO,NO,NO
14-01-2025,199792/94,SAE 9254MU,BILLET,VCK,1486,1564,ML,11.80 TO 11.90,,,,,NO,NO,NO
14-01-2025,199796/97,SCM 20HJ,BLOOM,VCK,1516,1593,ML,3.92 TO 3.95,,,,,NO,YES,NO
14-01-2025,199798/99,SAE 9254D,BILLET,VCK,1486,1563,ML,11.80 TO 11.90,,,,,NO,NO,NO
14-01-2025,199800/02,S53CG,BLOOM,VCK,1498,1570,ML,2.52 TO 2.55,,,,,NO,NO,NO
14-01-2025,199804/05,SAE 4140,BILLET,VCK,1505,1580,ML,10.40 TO 10.50,,,,,NO,YES,NO
